sigma,ivRvRatio,carryBpsPerDay,feeRatePerDay,vPosition_usd,capDown_usd,fvSwap_usd,mVol,feeDiscount_usd,premium_usd,wedgeBpsPerDay
0.400,1.000,0,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,0,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,0,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,5,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,5,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,5,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,10,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,10,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,10,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,15,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,15,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,15,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.000,20,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.000,20,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.000,20,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,0,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,0,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,0,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,5,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,5,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,5,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,10,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,10,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,10,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,15,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,15,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,15,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.050,20,0.00100,11984.632268,892.489343,84.904118175,1.0500,8.389243,80.760081,0.144399
0.400,1.050,20,0.00250,11984.632268,892.489343,84.904118175,1.0500,20.973106,68.176218,0.121899
0.400,1.050,20,0.00500,11984.632268,892.489343,84.904118175,1.0500,41.946213,47.203111,0.084399
0.400,1.080,0,0.00100,11984.632268,892.489343,84.904118175,1.0800,8.389243,83.307205,0.148954
0.400,1.080,0,0.00250,11984.632268,892.489343,84.904118175,1.0800,20.973106,70.723341,0.126454
0.400,1.080,0,0.00500,11984.632268,892.489343,84.904118175,1.0800,41.946213,49.750235,0.088954
0.400,1.080,5,0.00100,11984.632268,892.489343,84.904118175,1.0800,8.389243,83.307205,0.148954
0.400,1.080,5,0.00250,11984.632268,892.489343,84.904118175,1.0800,20.973106,70.723341,0.126454
0.400,1.080,5,0.00500,11984.632268,892.489343,84.904118175,1.0800,41.946213,49.750235,0.088954
0.400,1.080,10,0.00100,11984.632268,892.489343,84.904118175,1.0800,8.389243,83.307205,0.148954
0.400,1.080,10,0.00250,11984.632268,892.489343,84.904118175,1.0800,20.973106,70.723341,0.126454
0.400,1.080,10,0.00500,11984.632268,892.489343,84.904118175,1.0800,41.946213,49.750235,0.088954
0.400,1.080,15,0.00100,11984.632268,892.489343,84.904118175,1.0800,8.389243,83.307205,0.148954
0.400,1.080,15,0.00250,11984.632268,892.489343,84.904118175,1.0800,20.973106,70.723341,0.126454
0.400,1.080,15,0.00500,11984.632268,892.489343,84.904118175,1.0800,41.946213,49.750235,0.088954
0.400,1.080,20,0.00100,11984.632268,892.489343,84.904118175,1.0800,8.389243,83.307205,0.148954
0.400,1.080,20,0.00250,11984.632268,892.489343,84.904118175,1.0800,20.973106,70.723341,0.126454
0.400,1.080,20,0.00500,11984.632268,892.489343,84.904118175,1.0800,41.946213,49.750235,0.088954
0.400,1.150,0,0.00100,11984.632268,892.489343,84.904118175,1.1500,8.389243,89.250493,0.159580
0.400,1.150,0,0.00250,11984.632268,892.489343,84.904118175,1.1500,20.973106,76.666629,0.137080
0.400,1.150,0,0.00500,11984.632268,892.489343,84.904118175,1.1500,41.946213,55.693523,0.099580
0.400,1.150,5,0.00100,11984.632268,892.489343,84.904118175,1.1500,8.389243,89.250493,0.159580
0.400,1.150,5,0.00250,11984.632268,892.489343,84.904118175,1.1500,20.973106,76.666629,0.137080
0.400,1.150,5,0.00500,11984.632268,892.489343,84.904118175,1.1500,41.946213,55.693523,0.099580
0.400,1.150,10,0.00100,11984.632268,892.489343,84.904118175,1.1500,8.389243,89.250493,0.159580
0.400,1.150,10,0.00250,11984.632268,892.489343,84.904118175,1.1500,20.973106,76.666629,0.137080
0.400,1.150,10,0.00500,11984.632268,892.489343,84.904118175,1.1500,41.946213,55.693523,0.099580
0.400,1.150,15,0.00100,11984.632268,892.489343,84.904118175,1.1500,8.389243,89.250493,0.159580
0.400,1.150,15,0.00250,11984.632268,892.489343,84.904118175,1.1500,20.973106,76.666629,0.137080
0.400,1.150,15,0.00500,11984.632268,892.489343,84.904118175,1.1500,41.946213,55.693523,0.099580
0.400,1.150,20,0.00100,11984.632268,892.489343,84.904118175,1.1500,8.389243,89.250493,0.159580
0.400,1.150,20,0.00250,11984.632268,892.489343,84.904118175,1.1500,20.973106,76.666629,0.137080
0.400,1.150,20,0.00500,11984.632268,892.489343,84.904118175,1.1500,41.946213,55.693523,0.099580
0.400,1.250,0,0.00100,11984.632268,892.489343,84.904118175,1.2500,8.389243,97.740905,0.174761
0.400,1.250,0,0.00250,11984.632268,892.489343,84.904118175,1.2500,20.973106,85.157041,0.152261
0.400,1.250,0,0.00500,11984.632268,892.489343,84.904118175,1.2500,41.946213,64.183935,0.114761
0.400,1.250,5,0.00100,11984.632268,892.489343,84.904118175,1.2500,8.389243,97.740905,0.174761
0.400,1.250,5,0.00250,11984.632268,892.489343,84.904118175,1.2500,20.973106,85.157041,0.152261
0.400,1.250,5,0.00500,11984.632268,892.489343,84.904118175,1.2500,41.946213,64.183935,0.114761
0.400,1.250,10,0.00100,11984.632268,892.489343,84.904118175,1.2500,8.389243,97.740905,0.174761
0.400,1.250,10,0.00250,11984.632268,892.489343,84.904118175,1.2500,20.973106,85.157041,0.152261
0.400,1.250,10,0.00500,11984.632268,892.489343,84.904118175,1.2500,41.946213,64.183935,0.114761
0.400,1.250,15,0.00100,11984.632268,892.489343,84.904118175,1.2500,8.389243,97.740905,0.174761
0.400,1.250,15,0.00250,11984.632268,892.489343,84.904118175,1.2500,20.973106,85.157041,0.152261
0.400,1.250,15,0.00500,11984.632268,892.489343,84.904118175,1.2500,41.946213,64.183935,0.114761
0.400,1.250,20,0.00100,11984.632268,892.489343,84.904118175,1.2500,8.389243,97.740905,0.174761
0.400,1.250,20,0.00250,11984.632268,892.489343,84.904118175,1.2500,20.973106,85.157041,0.152261
0.400,1.250,20,0.00500,11984.632268,892.489343,84.904118175,1.2500,41.946213,64.183935,0.114761
0.400,1.500,0,0.00100,11984.632268,892.489343,84.904118175,1.5000,8.389243,118.966935,0.212713
0.400,1.500,0,0.00250,11984.632268,892.489343,84.904118175,1.5000,20.973106,106.383071,0.190213
0.400,1.500,0,0.00500,11984.632268,892.489343,84.904118175,1.5000,41.946213,85.409964,0.152713
0.400,1.500,5,0.00100,11984.632268,892.489343,84.904118175,1.5000,8.389243,118.966935,0.212713
0.400,1.500,5,0.00250,11984.632268,892.489343,84.904118175,1.5000,20.973106,106.383071,0.190213
0.400,1.500,5,0.00500,11984.632268,892.489343,84.904118175,1.5000,41.946213,85.409964,0.152713
0.400,1.500,10,0.00100,11984.632268,892.489343,84.904118175,1.5000,8.389243,118.966935,0.212713
0.400,1.500,10,0.00250,11984.632268,892.489343,84.904118175,1.5000,20.973106,106.383071,0.190213
0.400,1.500,10,0.00500,11984.632268,892.489343,84.904118175,1.5000,41.946213,85.409964,0.152713
0.400,1.500,15,0.00100,11984.632268,892.489343,84.904118175,1.5000,8.389243,118.966935,0.212713
0.400,1.500,15,0.00250,11984.632268,892.489343,84.904118175,1.5000,20.973106,106.383071,0.190213
0.400,1.500,15,0.00500,11984.632268,892.489343,84.904118175,1.5000,41.946213,85.409964,0.152713
0.400,1.500,20,0.00100,11984.632268,892.489343,84.904118175,1.5000,8.389243,118.966935,0.212713
0.400,1.500,20,0.00250,11984.632268,892.489343,84.904118175,1.5000,20.973106,106.383071,0.190213
0.400,1.500,20,0.00500,11984.632268,892.489343,84.904118175,1.5000,41.946213,85.409964,0.152713
0.650,1.000,0,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.000,0,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.000,0,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.000,5,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.000,5,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.000,5,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.000,10,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.000,10,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.000,10,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.000,15,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.000,15,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.000,15,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.000,20,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.000,20,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.000,20,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.050,0,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.050,0,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.050,0,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.050,5,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.050,5,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.050,5,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.050,10,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.050,10,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.050,10,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.050,15,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.050,15,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.050,15,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.050,20,0.00100,11984.632268,892.489343,156.260490885,1.0500,8.389243,155.684273,0.278364
0.650,1.050,20,0.00250,11984.632268,892.489343,156.260490885,1.0500,20.973106,143.100409,0.255864
0.650,1.050,20,0.00500,11984.632268,892.489343,156.260490885,1.0500,41.946213,122.127302,0.218364
0.650,1.080,0,0.00100,11984.632268,892.489343,156.260490885,1.0800,8.389243,160.372088,0.286746
0.650,1.080,0,0.00250,11984.632268,892.489343,156.260490885,1.0800,20.973106,147.788224,0.264246
0.650,1.080,0,0.00500,11984.632268,892.489343,156.260490885,1.0800,41.946213,126.815117,0.226746
0.650,1.080,5,0.00100,11984.632268,892.489343,156.260490885,1.0800,8.389243,160.372088,0.286746
0.650,1.080,5,0.00250,11984.632268,892.489343,156.260490885,1.0800,20.973106,147.788224,0.264246
0.650,1.080,5,0.00500,11984.632268,892.489343,156.260490885,1.0800,41.946213,126.815117,0.226746
0.650,1.080,10,0.00100,11984.632268,892.489343,156.260490885,1.0800,8.389243,160.372088,0.286746
0.650,1.080,10,0.00250,11984.632268,892.489343,156.260490885,1.0800,20.973106,147.788224,0.264246
0.650,1.080,10,0.00500,11984.632268,892.489343,156.260490885,1.0800,41.946213,126.815117,0.226746
0.650,1.080,15,0.00100,11984.632268,892.489343,156.260490885,1.0800,8.389243,160.372088,0.286746
0.650,1.080,15,0.00250,11984.632268,892.489343,156.260490885,1.0800,20.973106,147.788224,0.264246
0.650,1.080,15,0.00500,11984.632268,892.489343,156.260490885,1.0800,41.946213,126.815117,0.226746
0.650,1.080,20,0.00100,11984.632268,892.489343,156.260490885,1.0800,8.389243,160.372088,0.286746
0.650,1.080,20,0.00250,11984.632268,892.489343,156.260490885,1.0800,20.973106,147.788224,0.264246
0.650,1.080,20,0.00500,11984.632268,892.489343,156.260490885,1.0800,41.946213,126.815117,0.226746
0.650,1.150,0,0.00100,11984.632268,892.489343,156.260490885,1.1500,8.389243,171.310322,0.306304
0.650,1.150,0,0.00250,11984.632268,892.489343,156.260490885,1.1500,20.973106,158.726458,0.283804
0.650,1.150,0,0.00500,11984.632268,892.489343,156.260490885,1.1500,41.946213,137.753352,0.246304
0.650,1.150,5,0.00100,11984.632268,892.489343,156.260490885,1.1500,8.389243,171.310322,0.306304
0.650,1.150,5,0.00250,11984.632268,892.489343,156.260490885,1.1500,20.973106,158.726458,0.283804
0.650,1.150,5,0.00500,11984.632268,892.489343,156.260490885,1.1500,41.946213,137.753352,0.246304
0.650,1.150,10,0.00100,11984.632268,892.489343,156.260490885,1.1500,8.389243,171.310322,0.306304
0.650,1.150,10,0.00250,11984.632268,892.489343,156.260490885,1.1500,20.973106,158.726458,0.283804
0.650,1.150,10,0.00500,11984.632268,892.489343,156.260490885,1.1500,41.946213,137.753352,0.246304
0.650,1.150,15,0.00100,11984.632268,892.489343,156.260490885,1.1500,8.389243,171.310322,0.306304
0.650,1.150,15,0.00250,11984.632268,892.489343,156.260490885,1.1500,20.973106,158.726458,0.283804
0.650,1.150,15,0.00500,11984.632268,892.489343,156.260490885,1.1500,41.946213,137.753352,0.246304
0.650,1.150,20,0.00100,11984.632268,892.489343,156.260490885,1.1500,8.389243,171.310322,0.306304
0.650,1.150,20,0.00250,11984.632268,892.489343,156.260490885,1.1500,20.973106,158.726458,0.283804
0.650,1.150,20,0.00500,11984.632268,892.489343,156.260490885,1.1500,41.946213,137.753352,0.246304
0.650,1.250,0,0.00100,11984.632268,892.489343,156.260490885,1.2500,8.389243,186.936371,0.334243
0.650,1.250,0,0.00250,11984.632268,892.489343,156.260490885,1.2500,20.973106,174.352507,0.311743
0.650,1.250,0,0.00500,11984.632268,892.489343,156.260490885,1.2500,41.946213,153.379401,0.274243
0.650,1.250,5,0.00100,11984.632268,892.489343,156.260490885,1.2500,8.389243,186.936371,0.334243
0.650,1.250,5,0.00250,11984.632268,892.489343,156.260490885,1.2500,20.973106,174.352507,0.311743
0.650,1.250,5,0.00500,11984.632268,892.489343,156.260490885,1.2500,41.946213,153.379401,0.274243
0.650,1.250,10,0.00100,11984.632268,892.489343,156.260490885,1.2500,8.389243,186.936371,0.334243
0.650,1.250,10,0.00250,11984.632268,892.489343,156.260490885,1.2500,20.973106,174.352507,0.311743
0.650,1.250,10,0.00500,11984.632268,892.489343,156.260490885,1.2500,41.946213,153.379401,0.274243
0.650,1.250,15,0.00100,11984.632268,892.489343,156.260490885,1.2500,8.389243,186.936371,0.334243
0.650,1.250,15,0.00250,11984.632268,892.489343,156.260490885,1.2500,20.973106,174.352507,0.311743
0.650,1.250,15,0.00500,11984.632268,892.489343,156.260490885,1.2500,41.946213,153.379401,0.274243
0.650,1.250,20,0.00100,11984.632268,892.489343,156.260490885,1.2500,8.389243,186.936371,0.334243
0.650,1.250,20,0.00250,11984.632268,892.489343,156.260490885,1.2500,20.973106,174.352507,0.311743
0.650,1.250,20,0.00500,11984.632268,892.489343,156.260490885,1.2500,41.946213,153.379401,0.274243
0.650,1.500,0,0.00100,11984.632268,892.489343,156.260490885,1.5000,8.389243,226.001494,0.404092
0.650,1.500,0,0.00250,11984.632268,892.489343,156.260490885,1.5000,20.973106,213.417630,0.381592
0.650,1.500,0,0.00500,11984.632268,892.489343,156.260490885,1.5000,41.946213,192.444523,0.344092
0.650,1.500,5,0.00100,11984.632268,892.489343,156.260490885,1.5000,8.389243,226.001494,0.404092
0.650,1.500,5,0.00250,11984.632268,892.489343,156.260490885,1.5000,20.973106,213.417630,0.381592
0.650,1.500,5,0.00500,11984.632268,892.489343,156.260490885,1.5000,41.946213,192.444523,0.344092
0.650,1.500,10,0.00100,11984.632268,892.489343,156.260490885,1.5000,8.389243,226.001494,0.404092
0.650,1.500,10,0.00250,11984.632268,892.489343,156.260490885,1.5000,20.973106,213.417630,0.381592
0.650,1.500,10,0.00500,11984.632268,892.489343,156.260490885,1.5000,41.946213,192.444523,0.344092
0.650,1.500,15,0.00100,11984.632268,892.489343,156.260490885,1.5000,8.389243,226.001494,0.404092
0.650,1.500,15,0.00250,11984.632268,892.489343,156.260490885,1.5000,20.973106,213.417630,0.381592
0.650,1.500,15,0.00500,11984.632268,892.489343,156.260490885,1.5000,41.946213,192.444523,0.344092
0.650,1.500,20,0.00100,11984.632268,892.489343,156.260490885,1.5000,8.389243,226.001494,0.404092
0.650,1.500,20,0.00250,11984.632268,892.489343,156.260490885,1.5000,20.973106,213.417630,0.381592
0.650,1.500,20,0.00500,11984.632268,892.489343,156.260490885,1.5000,41.946213,192.444523,0.344092
