sigma,ivRvRatio,carryBpsPerDay,feeRatePerDay,vPosition_usd,capDown_usd,fvSwap_usd,mVol,feeDiscount_usd,premium_usd,wedgeBpsPerDay
0.900,1.000,0,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.000,0,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.000,0,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.000,5,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.000,5,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.000,5,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.000,10,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.000,10,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.000,10,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.000,15,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.000,15,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.000,15,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.000,20,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.000,20,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.000,20,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.050,0,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.050,0,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.050,0,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.050,5,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.050,5,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.050,5,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.050,10,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.050,10,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.050,10,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.050,15,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.050,15,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.050,15,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.050,20,0.00100,11984.632268,892.489343,204.864700126,1.0500,8.389243,206.718693,0.369614
0.900,1.050,20,0.00250,11984.632268,892.489343,204.864700126,1.0500,20.973106,194.134829,0.347114
0.900,1.050,20,0.00500,11984.632268,892.489343,204.864700126,1.0500,41.946213,173.161722,0.309614
0.900,1.080,0,0.00100,11984.632268,892.489343,204.864700126,1.0800,8.389243,212.864634,0.380603
0.900,1.080,0,0.00250,11984.632268,892.489343,204.864700126,1.0800,20.973106,200.280770,0.358103
0.900,1.080,0,0.00500,11984.632268,892.489343,204.864700126,1.0800,41.946213,179.307663,0.320603
0.900,1.080,5,0.00100,11984.632268,892.489343,204.864700126,1.0800,8.389243,212.864634,0.380603
0.900,1.080,5,0.00250,11984.632268,892.489343,204.864700126,1.0800,20.973106,200.280770,0.358103
0.900,1.080,5,0.00500,11984.632268,892.489343,204.864700126,1.0800,41.946213,179.307663,0.320603
0.900,1.080,10,0.00100,11984.632268,892.489343,204.864700126,1.0800,8.389243,212.864634,0.380603
0.900,1.080,10,0.00250,11984.632268,892.489343,204.864700126,1.0800,20.973106,200.280770,0.358103
0.900,1.080,10,0.00500,11984.632268,892.489343,204.864700126,1.0800,41.946213,179.307663,0.320603
0.900,1.080,15,0.00100,11984.632268,892.489343,204.864700126,1.0800,8.389243,212.864634,0.380603
0.900,1.080,15,0.00250,11984.632268,892.489343,204.864700126,1.0800,20.973106,200.280770,0.358103
0.900,1.080,15,0.00500,11984.632268,892.489343,204.864700126,1.0800,41.946213,179.307663,0.320603
0.900,1.080,20,0.00100,11984.632268,892.489343,204.864700126,1.0800,8.389243,212.864634,0.380603
0.900,1.080,20,0.00250,11984.632268,892.489343,204.864700126,1.0800,20.973106,200.280770,0.358103
0.900,1.080,20,0.00500,11984.632268,892.489343,204.864700126,1.0800,41.946213,179.307663,0.320603
0.900,1.150,0,0.00100,11984.632268,892.489343,204.864700126,1.1500,8.389243,227.205163,0.406244
0.900,1.150,0,0.00250,11984.632268,892.489343,204.864700126,1.1500,20.973106,214.621299,0.383744
0.900,1.150,0,0.00500,11984.632268,892.489343,204.864700126,1.1500,41.946213,193.648192,0.346244
0.900,1.150,5,0.00100,11984.632268,892.489343,204.864700126,1.1500,8.389243,227.205163,0.406244
0.900,1.150,5,0.00250,11984.632268,892.489343,204.864700126,1.1500,20.973106,214.621299,0.383744
0.900,1.150,5,0.00500,11984.632268,892.489343,204.864700126,1.1500,41.946213,193.648192,0.346244
0.900,1.150,10,0.00100,11984.632268,892.489343,204.864700126,1.1500,8.389243,227.205163,0.406244
0.900,1.150,10,0.00250,11984.632268,892.489343,204.864700126,1.1500,20.973106,214.621299,0.383744
0.900,1.150,10,0.00500,11984.632268,892.489343,204.864700126,1.1500,41.946213,193.648192,0.346244
0.900,1.150,15,0.00100,11984.632268,892.489343,204.864700126,1.1500,8.389243,227.205163,0.406244
0.900,1.150,15,0.00250,11984.632268,892.489343,204.864700126,1.1500,20.973106,214.621299,0.383744
0.900,1.150,15,0.00500,11984.632268,892.489343,204.864700126,1.1500,41.946213,193.648192,0.346244
0.900,1.150,20,0.00100,11984.632268,892.489343,204.864700126,1.1500,8.389243,227.205163,0.406244
0.900,1.150,20,0.00250,11984.632268,892.489343,204.864700126,1.1500,20.973106,214.621299,0.383744
0.900,1.150,20,0.00500,11984.632268,892.489343,204.864700126,1.1500,41.946213,193.648192,0.346244
0.900,1.250,0,0.00100,11984.632268,892.489343,204.864700126,1.2500,8.389243,247.691633,0.442874
0.900,1.250,0,0.00250,11984.632268,892.489343,204.864700126,1.2500,20.973106,235.107769,0.420374
0.900,1.250,0,0.00500,11984.632268,892.489343,204.864700126,1.2500,41.946213,214.134662,0.382874
0.900,1.250,5,0.00100,11984.632268,892.489343,204.864700126,1.2500,8.389243,247.691633,0.442874
0.900,1.250,5,0.00250,11984.632268,892.489343,204.864700126,1.2500,20.973106,235.107769,0.420374
0.900,1.250,5,0.00500,11984.632268,892.489343,204.864700126,1.2500,41.946213,214.134662,0.382874
0.900,1.250,10,0.00100,11984.632268,892.489343,204.864700126,1.2500,8.389243,247.691633,0.442874
0.900,1.250,10,0.00250,11984.632268,892.489343,204.864700126,1.2500,20.973106,235.107769,0.420374
0.900,1.250,10,0.00500,11984.632268,892.489343,204.864700126,1.2500,41.946213,214.134662,0.382874
0.900,1.250,15,0.00100,11984.632268,892.489343,204.864700126,1.2500,8.389243,247.691633,0.442874
0.900,1.250,15,0.00250,11984.632268,892.489343,204.864700126,1.2500,20.973106,235.107769,0.420374
0.900,1.250,15,0.00500,11984.632268,892.489343,204.864700126,1.2500,41.946213,214.134662,0.382874
0.900,1.250,20,0.00100,11984.632268,892.489343,204.864700126,1.2500,8.389243,247.691633,0.442874
0.900,1.250,20,0.00250,11984.632268,892.489343,204.864700126,1.2500,20.973106,235.107769,0.420374
0.900,1.250,20,0.00500,11984.632268,892.489343,204.864700126,1.2500,41.946213,214.134662,0.382874
0.900,1.500,0,0.00100,11984.632268,892.489343,204.864700126,1.5000,8.389243,298.907808,0.534448
0.900,1.500,0,0.00250,11984.632268,892.489343,204.864700126,1.5000,20.973106,286.323944,0.511948
0.900,1.500,0,0.00500,11984.632268,892.489343,204.864700126,1.5000,41.946213,265.350837,0.474448
0.900,1.500,5,0.00100,11984.632268,892.489343,204.864700126,1.5000,8.389243,298.907808,0.534448
0.900,1.500,5,0.00250,11984.632268,892.489343,204.864700126,1.5000,20.973106,286.323944,0.511948
0.900,1.500,5,0.00500,11984.632268,892.489343,204.864700126,1.5000,41.946213,265.350837,0.474448
0.900,1.500,10,0.00100,11984.632268,892.489343,204.864700126,1.5000,8.389243,298.907808,0.534448
0.900,1.500,10,0.00250,11984.632268,892.489343,204.864700126,1.5000,20.973106,286.323944,0.511948
0.900,1.500,10,0.00500,11984.632268,892.489343,204.864700126,1.5000,41.946213,265.350837,0.474448
0.900,1.500,15,0.00100,11984.632268,892.489343,204.864700126,1.5000,8.389243,298.907808,0.534448
0.900,1.500,15,0.00250,11984.632268,892.489343,204.864700126,1.5000,20.973106,286.323944,0.511948
0.900,1.500,15,0.00500,11984.632268,892.489343,204.864700126,1.5000,41.946213,265.350837,0.474448
0.900,1.500,20,0.00100,11984.632268,892.489343,204.864700126,1.5000,8.389243,298.907808,0.534448
0.900,1.500,20,0.00250,11984.632268,892.489343,204.864700126,1.5000,20.973106,286.323944,0.511948
0.900,1.500,20,0.00500,11984.632268,892.489343,204.864700126,1.5000,41.946213,265.350837,0.474448
1.200,1.000,0,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.000,0,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.000,0,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.000,5,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.000,5,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.000,5,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.000,10,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.000,10,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.000,10,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.000,15,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.000,15,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.000,15,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.000,20,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.000,20,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.000,20,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.050,0,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.050,0,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.050,0,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.050,5,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.050,5,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.050,5,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.050,10,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.050,10,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.050,10,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.050,15,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.050,15,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.050,15,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.050,20,0.00100,11984.632268,892.489343,244.567736306,1.0500,8.389243,248.406881,0.444153
1.200,1.050,20,0.00250,11984.632268,892.489343,244.567736306,1.0500,20.973106,235.823017,0.421653
1.200,1.050,20,0.00500,11984.632268,892.489343,244.567736306,1.0500,41.946213,214.849910,0.384153
1.200,1.080,0,0.00100,11984.632268,892.489343,244.567736306,1.0800,8.389243,255.743913,0.457271
1.200,1.080,0,0.00250,11984.632268,892.489343,244.567736306,1.0800,20.973106,243.160049,0.434771
1.200,1.080,0,0.00500,11984.632268,892.489343,244.567736306,1.0800,41.946213,222.186942,0.397271
1.200,1.080,5,0.00100,11984.632268,892.489343,244.567736306,1.0800,8.389243,255.743913,0.457271
1.200,1.080,5,0.00250,11984.632268,892.489343,244.567736306,1.0800,20.973106,243.160049,0.434771
1.200,1.080,5,0.00500,11984.632268,892.489343,244.567736306,1.0800,41.946213,222.186942,0.397271
1.200,1.080,10,0.00100,11984.632268,892.489343,244.567736306,1.0800,8.389243,255.743913,0.457271
1.200,1.080,10,0.00250,11984.632268,892.489343,244.567736306,1.0800,20.973106,243.160049,0.434771
1.200,1.080,10,0.00500,11984.632268,892.489343,244.567736306,1.0800,41.946213,222.186942,0.397271
1.200,1.080,15,0.00100,11984.632268,892.489343,244.567736306,1.0800,8.389243,255.743913,0.457271
1.200,1.080,15,0.00250,11984.632268,892.489343,244.567736306,1.0800,20.973106,243.160049,0.434771
1.200,1.080,15,0.00500,11984.632268,892.489343,244.567736306,1.0800,41.946213,222.186942,0.397271
1.200,1.080,20,0.00100,11984.632268,892.489343,244.567736306,1.0800,8.389243,255.743913,0.457271
1.200,1.080,20,0.00250,11984.632268,892.489343,244.567736306,1.0800,20.973106,243.160049,0.434771
1.200,1.080,20,0.00500,11984.632268,892.489343,244.567736306,1.0800,41.946213,222.186942,0.397271
1.200,1.150,0,0.00100,11984.632268,892.489343,244.567736306,1.1500,8.389243,272.863654,0.487881
1.200,1.150,0,0.00250,11984.632268,892.489343,244.567736306,1.1500,20.973106,260.279790,0.465381
1.200,1.150,0,0.00500,11984.632268,892.489343,244.567736306,1.1500,41.946213,239.306684,0.427881
1.200,1.150,5,0.00100,11984.632268,892.489343,244.567736306,1.1500,8.389243,272.863654,0.487881
1.200,1.150,5,0.00250,11984.632268,892.489343,244.567736306,1.1500,20.973106,260.279790,0.465381
1.200,1.150,5,0.00500,11984.632268,892.489343,244.567736306,1.1500,41.946213,239.306684,0.427881
1.200,1.150,10,0.00100,11984.632268,892.489343,244.567736306,1.1500,8.389243,272.863654,0.487881
1.200,1.150,10,0.00250,11984.632268,892.489343,244.567736306,1.1500,20.973106,260.279790,0.465381
1.200,1.150,10,0.00500,11984.632268,892.489343,244.567736306,1.1500,41.946213,239.306684,0.427881
1.200,1.150,15,0.00100,11984.632268,892.489343,244.567736306,1.1500,8.389243,272.863654,0.487881
1.200,1.150,15,0.00250,11984.632268,892.489343,244.567736306,1.1500,20.973106,260.279790,0.465381
1.200,1.150,15,0.00500,11984.632268,892.489343,244.567736306,1.1500,41.946213,239.306684,0.427881
1.200,1.150,20,0.00100,11984.632268,892.489343,244.567736306,1.1500,8.389243,272.863654,0.487881
1.200,1.150,20,0.00250,11984.632268,892.489343,244.567736306,1.1500,20.973106,260.279790,0.465381
1.200,1.150,20,0.00500,11984.632268,892.489343,244.567736306,1.1500,41.946213,239.306684,0.427881
1.200,1.250,0,0.00100,11984.632268,892.489343,244.567736306,1.2500,8.389243,297.320428,0.531610
1.200,1.250,0,0.00250,11984.632268,892.489343,244.567736306,1.2500,20.973106,284.736564,0.509110
1.200,1.250,0,0.00500,11984.632268,892.489343,244.567736306,1.2500,41.946213,263.763457,0.471610
1.200,1.250,5,0.00100,11984.632268,892.489343,244.567736306,1.2500,8.389243,297.320428,0.531610
1.200,1.250,5,0.00250,11984.632268,892.489343,244.567736306,1.2500,20.973106,284.736564,0.509110
1.200,1.250,5,0.00500,11984.632268,892.489343,244.567736306,1.2500,41.946213,263.763457,0.471610
1.200,1.250,10,0.00100,11984.632268,892.489343,244.567736306,1.2500,8.389243,297.320428,0.531610
1.200,1.250,10,0.00250,11984.632268,892.489343,244.567736306,1.2500,20.973106,284.736564,0.509110
1.200,1.250,10,0.00500,11984.632268,892.489343,244.567736306,1.2500,41.946213,263.763457,0.471610
1.200,1.250,15,0.00100,11984.632268,892.489343,244.567736306,1.2500,8.389243,297.320428,0.531610
1.200,1.250,15,0.00250,11984.632268,892.489343,244.567736306,1.2500,20.973106,284.736564,0.509110
1.200,1.250,15,0.00500,11984.632268,892.489343,244.567736306,1.2500,41.946213,263.763457,0.471610
1.200,1.250,20,0.00100,11984.632268,892.489343,244.567736306,1.2500,8.389243,297.320428,0.531610
1.200,1.250,20,0.00250,11984.632268,892.489343,244.567736306,1.2500,20.973106,284.736564,0.509110
1.200,1.250,20,0.00500,11984.632268,892.489343,244.567736306,1.2500,41.946213,263.763457,0.471610
1.200,1.500,0,0.00100,11984.632268,892.489343,244.567736306,1.5000,8.389243,358.462362,0.640932
1.200,1.500,0,0.00250,11984.632268,892.489343,244.567736306,1.5000,20.973106,345.878498,0.618432
1.200,1.500,0,0.00500,11984.632268,892.489343,244.567736306,1.5000,41.946213,324.905392,0.580932
1.200,1.500,5,0.00100,11984.632268,892.489343,244.567736306,1.5000,8.389243,358.462362,0.640932
1.200,1.500,5,0.00250,11984.632268,892.489343,244.567736306,1.5000,20.973106,345.878498,0.618432
1.200,1.500,5,0.00500,11984.632268,892.489343,244.567736306,1.5000,41.946213,324.905392,0.580932
1.200,1.500,10,0.00100,11984.632268,892.489343,244.567736306,1.5000,8.389243,358.462362,0.640932
1.200,1.500,10,0.00250,11984.632268,892.489343,244.567736306,1.5000,20.973106,345.878498,0.618432
1.200,1.500,10,0.00500,11984.632268,892.489343,244.567736306,1.5000,41.946213,324.905392,0.580932
1.200,1.500,15,0.00100,11984.632268,892.489343,244.567736306,1.5000,8.389243,358.462362,0.640932
1.200,1.500,15,0.00250,11984.632268,892.489343,244.567736306,1.5000,20.973106,345.878498,0.618432
1.200,1.500,15,0.00500,11984.632268,892.489343,244.567736306,1.5000,41.946213,324.905392,0.580932
1.200,1.500,20,0.00100,11984.632268,892.489343,244.567736306,1.5000,8.389243,358.462362,0.640932
1.200,1.500,20,0.00250,11984.632268,892.489343,244.567736306,1.5000,20.973106,345.878498,0.618432
1.200,1.500,20,0.00500,11984.632268,892.489343,244.567736306,1.5000,41.946213,324.905392,0.580932
